id,letter,case,font,size,width,height,weight,density,x_center,y_center,x_rel_center,y_rel_center,x_axial,y_axial,x_rel_axial,y_rel_axial,orientation_angle
1,азъ,capital,AkathUcs8,31,21,12,118.95686274509805,0.472051042639278,6.546614360123953,10.357222918177621,0.545551196676996,0.49320109134179146,4681.918166504421,1148.9630874305285,0.3308604183645481,0.08119458612334304,0.12862466459765018
2,азъ,capital,AkathUcs8,32,21,13,122.13725490196079,0.44738921209509447,6.625140471985873,10.356076416760315,0.5096261901527595,0.4931464960362055,5098.294558973052,1192.4647647468041,0.3417658100300692,0.0799372577519528,0.11728860614076997
3,азъ,capital,AkathUcs8,33,22,14,171.38823529411764,0.5564553093964858,7.71194856306059,10.845872231374702,0.5508534687900422,0.49299419233521374,7040.493315100157,1923.5479233739989,0.23968512170084108,0.065484874067342,0.12782742979674472
4,азъ,capital,AkathUcs8,34,23,15,172.7372549019608,0.5006876953680023,7.93184707591718,11.595305121685433,0.5287898050611454,0.5041437009428449,7790.791800388881,1992.664333027072,0.2611016229271196,0.06678241501414328,0.13474008085525924
5,азъ,capital,AkathUcs8,35,23,14,131.5686274509804,0.4085982218974546,7.359612518628912,11.581758569299554,0.5256866084734937,0.5035547204043285,6387.071514683967,1577.389313579381,0.3689751268696765,0.09112430019967019,0.13748690238045197
6,азъ,capital,AkathUcs8,36,24,15,179.04705882352943,0.4973529411764706,7.772762117528527,11.842477604748447,0.5181841411685685,0.49343656686451864,9302.169015424905,2317.4643410563076,0.29016821858838887,0.07229007539761487,0.11742223176112263
7,азъ,capital,AkathUcs8,37,25,15,181.08235294117645,0.48288627450980387,7.794222106722107,12.799982674982678,0.5196148071148071,0.5119993069993071,9861.547607788787,2416.120386110092,0.30074112342576403,0.07368283236565629,0.13741859486967242
8,азъ,capital,AkathUcs8,38,25,15,139.2313725490196,0.37128366013071895,8.2075540784137,12.667586750788645,0.5471702718942467,0.5067034700315458,8247.085720912972,1948.4295450830175,0.4254282250185354,0.10051028338851525,0.12732631171893904
9,азъ,capital,AkathUcs8,39,26,16,186.8549019607843,0.4491704374057315,8.616752014775017,13.16596709200806,0.5385470009234385,0.5063833496926177,11072.98640092706,2848.213758987477,0.31714347116018954,0.08157622211618301,0.13150765196189873
10,азъ,capital,AkathUcs8,40,27,16,206.57254901960783,0.47817719680464776,8.405649631710835,13.654225833396614,0.5253531019819272,0.5057120679035783,12812.768899331317,3133.1375634102073,0.3002602043510284,0.07342335856057851,0.1269087579590344
11,азъ,capital,FedorovskUnicode,31,25,17,183.3411764705882,0.43139100346020753,9.147651437371666,13.87331023271732,0.5380971433748039,0.5549324093086928,9404.990652974058,2958.430439716955,0.2797939636223009,0.08801188745121409,0.24320706059607636
12,азъ,capital,FedorovskUnicode,32,26,17,166.38039215686274,0.37642622659923697,9.405496499870367,14.472152167251988,0.5532644999923745,0.5566212372019995,9508.830775629835,2910.0621106518834,0.3434969074052651,0.10512305444829523,0.25803842196696114
13,азъ,capital,FedorovskUnicode,33,27,18,215.8235294117647,0.44408133623819895,9.749177795948032,15.042536567638775,0.5416209886637796,0.5571309839866213,12743.738909392774,3896.790785471634,0.2735894109765214,0.0836583912520474,0.2560596032580863
14,азъ,capital,FedorovskUnicode,34,28,18,227.82745098039214,0.4520385932150638,10.069677774717709,15.796836270999727,0.5594265430398727,0.564172723964276,14350.17670002592,4278.046840658599,0.2764681755012184,0.08242015617434856,0.23713625455916348
15,азъ,capital,FedorovskUnicode,35,28,19,203.26666666666665,0.38208020050125313,10.218586614704918,15.898944687747191,0.5378203481423641,0.5678194531338282,13113.249695193803,4329.111426099581,0.3173788632201436,0.10477711437710205,0.2636355787160979
16,азъ,capital,FedorovskUnicode,36,29,19,237.73725490196077,0.43146507241735166,10.665391023209015,16.294706629497057,0.5613363696425797,0.5618864354998985,16116.20694649963,5128.868458454097,0.28514669883014626,0.09074591276453492,0.25325679966595865
17,азъ,capital,FedorovskUnicode,37,30,20,263.7803921568628,0.4396339869281046,10.968794600380589,17.061013320647,0.5484397300190295,0.5687004440215666,19453.23765228261,6076.08431320078,0.2795804974425924,0.08732503581934485,0.24624012452678
18,азъ,capital,FedorovskUnicode,38,31,20,260.24313725490197,0.4197469955724225,11.342455019438836,17.436379253187063,0.5671227509719418,0.562463846877002,20550.979973360612,6233.236734228364,0.30344079288914044,0.09203543088221285,0.25611618080159587
19,азъ,capital,FedorovskUnicode,39,32,21,298.87450980392157,0.4447537348272642,11.579678007688978,18.172975739047143,0.5514132384613799,0.5679054918452232,24510.159454243694,7725.887863914936,0.2743900652625321,0.08649094589319707,0.2539120767824391
20,азъ,capital,FedorovskUnicode,40,32,22,305.8078431372549,0.43438614081996435,11.92436619176466,18.02910965491594,0.5420166450802119,0.5634096767161231,25555.94478856212,8210.219261956972,0.2732717272558752,0.08779252019156807,0.25484357071706104
21,азъ,capital,Flavius,31,23,20,192.5686274509804,0.41862745098039217,9.065634864066798,12.324488341309438,0.4532817432033399,0.5358473191873668,8285.629814782647,4155.903760129854,0.2234366730326595,0.1120713005969231,0.13557717573536615
22,азъ,capital,Flavius,32,23,21,210.0078431372549,0.4347988470750619,9.433709291903197,12.693195398864656,0.44922425199539034,0.5518780608202024,9347.10274667979,4934.096737201005,0.21193661200700412,0.1118759228541321,0.0695427405801969
23,азъ,capital,Flavius,33,23,22,210.56470588235294,0.4161357823761916,9.831917905166314,12.704343129586173,0.44690535932574155,0.5523627447646162,9398.484106596787,5474.384545467161,0.2119759817188881,0.12347076668647022,0.10313284115671978
